Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens OX=9606	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial 	5:Protein uncertain	1.0000	0.9990	3	0	3	2	0	2	2.8243676E7	0	2.8243676E7	5C(57.0214), 6C(57.0214)		sp|P0DPI2|GAL3A_HUMAN, tr|A0A096LNH5|A0A096LNH5_HUMAN, tr|A0A096LPI6|A0A096LPI6_HUMAN
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens OX=9606	Ubiquitin-like modifier-activating enzyme 6 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	2	1	2	1106863.0	298857.75	1106863.0			
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens OX=9606	Shootin-1 	1:Experimental evidence at protein level	1.0000	0.9982	2	2	2	1	1	1	1348151.0	1348151.0	1348151.0			
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens OX=9606	2-hydroxyacyl-CoA lyase 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	4	0	4	2222423.8	0	2222423.8	4M(15.9949),12C(57.0214)		tr|M0R026|M0R026_HUMAN
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	CCR4-NOT transcription complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9981	2	1	2	2	1	2	0	0	0			
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens OX=9606	Glycerol-3-phosphate phosphatase 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	3	2	3	4089662.0	3863622.5	4089662.0	7C(57.0214),11C(57.0214)		
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens OX=9606	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9986	1	0	1	1	0	1	428714.34	0	428714.34			tr|J3KTL8|J3KTL8_HUMAN
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens OX=9606	Putative small nuclear ribonucleoprotein G-like protein 15 	5:Protein uncertain	1.0000	0.9990	3	0	3	6	0	6	2.9468284E7	0	2.9468284E7	6M(15.9949)		sp|P62308|RUXG_HUMAN
sp|B0I1T2|MYO1G_HUMAN	B0I1T2	MYO1G_HUMAN	MYO1G	1018	Homo sapiens OX=9606	Unconventional myosin-Ig 	1:Experimental evidence at protein level	1.0000	0.9990	11	1	11	9	1	9	7047876.5	1209762.8	7047876.5	12C(57.0214),8C(57.0214),3C(57.0214),3M(15.9949)		
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit C-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	10	0	10	11	0	11	9299968.0	0	9299968.0	2M(15.9949),2C(57.0214),2C(57.0214)		sp|Q99613|EIF3C_HUMAN
